POSTCODE,Consumption (kWh)
BR1 5BN,85518.7
BR1 5BP,81266.8
BR1 5BQ,92672.6
BR1 5BS,138573.8
BR1 5BT,137235.1
BR1 5BU,58171.1
BR1 5BW,30532.1
BR1 5BX,87740.8
BR1 5BY,24394.5
BR1 5DA,56401.9
BR1 5DB,189025.6
BR1 5DD,148383.5
BR1 5DE,119820.0
BR1 5DG,162587.9
BR1 5DH,26611.1
BR1 5DJ,147881.1
BR1 5DL,59581.5
BR1 5DN,96214.2
BR1 5DP,143634.7
BR1 5DQ,169731.4
BR1 5DR,147490.3
BR1 5DS,138834.0
BR1 5DT,128698.4
BR1 5DU,116925.5
BR1 5DW,76323.4
BR1 5DX,128799.4
BR1 5DY,85085.1
BR1 5DZ,95409.7
BR1 5EA,82496.6
BR1 5ED,15745.9
BR1 5EE,101067.7
BR1 5EF,119444.9
BR1 5EG,107318.4
BR1 5EH,153478.3
BR1 5EJ,112044.6
BR1 5EL,122955.3
BR1 5EN,111736.6
BR1 5EP,186949.4
BR1 5EQ,95155.2
BR1 5ER,181070.3
BR1 5ES,104978.7
BR1 5ET,114275.6
BR1 5EU,109528.9
BR1 5EW,123113.4
BR1 5EX,89420.1
BR1 5EY,140721.4
BR1 5EZ,92112.5
BR1 5FA,51201.4
BR1 5FB,28397.7
BR1 5GD,73188.3
BR1 5GN,11534.2
BR1 5HA,66662.7
BR1 5HB,175615.9
BR1 5HD,185632.8
BR1 5HE,156398.1
BR1 5HF,54930.6
BR1 5HG,30176.4
BR1 5HH,192690.3
BR1 5HJ,101240.2
BR1 5HL,119707.0
BR1 5HN,26302.0
BR1 5HP,133411.3
BR1 5HR,68635.5
BR1 5HS,18192.3
BR1 5HT,71584.7
BR1 5HU,159521.8
BR1 5HW,141166.4
BR1 5HX,53406.0
BR1 5HY,31260.8
BR1 5HZ,56025.4
BR1 5JB,67469.8
BR1 5JD,65056.5
BR1 5JE,62283.1
BR1 5JF,111462.6
BR1 5JG,132227.3
BR1 5JH,69675.9
BR1 5JJ,164243.4
BR1 5JL,148495.4
BR1 5JN,79741.6
BR1 5JP,163453.6
BR1 5JQ,88890.6
BR1 5JR,120849.1
BR1 5JS,84274.2
BR1 5JT,73457.5
BR1 5JU,115285.0
BR1 5JW,185835.4
BR1 5JX,90313.8
BR1 5JY,159472.4
BR1 5JZ,110652.7
BR1 5LA,110141.7
BR1 5LB,41156.9
BR1 5LD,117373.1
BR1 5LE,64992.2
BR1 5LF,165730.1
BR1 5LG,148914.8
BR1 5LH,72456.7
BR1 5LJ,173298.8
BR1 5LL,188606.3
BR1 5LN,82932.8
BR1 5LP,68541.6
BR1 5LQ,168511.9
BR1 5LR,61125.0
BR1 5LS,36785.4
BR1 5LT,98029.5
BR1 5LU,122562.8
BR1 5LW,101422.4
BR1 5LX,147326.2
BR1 5LY,111414.1
BR1 5LZ,76971.4
BR1 5NA,206290.4
BR1 5NB,114919.7
BR1 5ND,197464.5
BR1 5NE,25762.5
BR1 5NF,94479.3
BR1 5NG,103518.6
BR1 5NH,120007.6
BR1 5NJ,137961.8
BR1 5NL,85435.5
BR1 5NN,34171.9
BR1 5NP,18920.2
BR1 5NQ,86182.0
BR1 5NR,145339.7
BR1 5NS,185439.6
BR1 5NT,159179.7
BR1 5NU,77397.5
BR1 5NW,159593.9
BR1 5NX,153697.0
BR1 5NY,167724.6
BR1 5NZ,92248.0
BR1 5PB,26569.0
BR1 5PD,177173.9
BR1 5PE,73178.9
BR1 5PF,131683.2
BR1 5PG,117243.6
BR1 5PJ,57887.7
BR1 5PN,114296.3
BR1 5PP,69339.2
BR1 5PQ,87125.3
BR1 5PR,47511.5
BR1 5PS,47136.0
BR1 5PT,99629.4
BR1 5PU,146116.5
BR1 5PW,79612.4
BR1 5PX,21261.7
BR1 5PY,102941.9
BR1 5PZ,82181.6
BR1 5QA,123278.4
BR1 5QB,89410.3
BR1 5QE,160150.7
BR1 5QF,127836.1
BR1 5QG,114327.7
BR1 5QH,109267.3
BR1 5QJ,113036.3
BR1 5QN,110377.9
BR1 5QP,205885.9
BR1 5QQ,104897.1
BR1 5QR,76243.6
BR1 5QS,39569.8
BR1 5QT,115836.2
BR1 5QU,148407.8
BR1 5QW,122267.1
BR1 5RA,83461.0
BR1 5RB,108645.9
BR1 5RD,87347.4
BR1 5RE,105218.2
BR1 5RF,34234.9
BR1 5RG,143933.4
BR1 5RH,108487.2
BR1 5RJ,119539.1
BR1 5RL,143440.7
BR1 5RN,147024.9
BR1 5RP,99394.6
BR1 5RQ,84267.3
BR1 5RR,152572.0
BR1 5RS,95768.5
BR1 5RT,126315.7
BR1 5RU,98371.5
BR1 5RW,115094.8
BR1 5RY,90937.5
BR1 5SA,111111.3
BR1 5SB,72472.3
BR1 5SD,135191.3
BR1 5SE,168873.2
BR1 5SF,161159.3
BR1 5SG,138046.6
BR1 5SH,148362.1
BR1 5SJ,148575.0
BR1 5SL,53296.8
BR1 5SN,34709.8
BR1 5SQ,134359.0
BR2 0AA,42343.0
BR2 0AB,100316.1
BR2 0AE,14599.2
BR2 0AF,18950.7
BR2 0AH,13327.6
BR2 0AJ,19948.0
BR2 0AL,16013.9
BR2 0AP,31208.9
BR2 0AS,44344.5
BR2 0AU,37553.5
BR2 0AW,14629.9
BR2 0AX,106030.8
BR2 0AY,127056.6
BR2 0AZ,152352.5
BR2 0BA,77129.0
BR2 0BB,110014.2
BR2 0BD,71056.9
BR2 0BG,40101.6
BR2 0BH,39354.9
BR2 0BL,13494.8
BR2 0BP,141275.7
BR2 0BQ,36109.7
BR2 0BT,91348.2
BR2 0BW,39276.3
BR2 0BX,175188.7
BR2 0BZ,24775.2
BR2 0DA,68268.7
BR2 0DD,78066.0
BR2 0DE,13280.2
BR2 0DG,40958.7
BR2 0DH,57535.2
BR2 0DJ,18473.0
BR2 0DL,43477.2
BR2 0DN,61826.9
BR2 0DP,50399.0
BR2 0DQ,36564.4
BR2 0DS,74551.7
BR2 0DW,52383.6
BR2 0DX,151974.9
BR2 0DY,89941.5
BR2 0DZ,79405.3
BR2 0EA,129193.0
BR2 0EB,97566.7
BR2 0ED,9247.5
BR2 0EE,175744.2
BR2 0EF,128909.3
BR2 0EG,42374.5
BR2 0EH,89427.7
BR2 0EJ,52813.5
BR2 0EL,37981.6
BR2 0EN,67547.1
BR2 0ER,125739.1
BR2 0ES,115620.3
BR2 0ET,139623.4
BR2 0EU,149968.4
BR2 0EW,56805.7
BR2 0EX,92116.7
BR2 0EY,52993.8
BR2 0EZ,37661.1
BR2 0HA,155948.2
BR2 0HB,149525.2
BR2 0HD,124531.9
BR2 0HE,57325.2
BR2 0HG,64883.4
BR2 0HH,28719.2
BR2 0HJ,24107.5
BR2 0HN,105026.8
BR2 0HP,198034.0
BR2 0HQ,53023.2
BR2 0HS,76310.0
BR2 0HT,200491.4
BR2 0HU,26637.5
BR2 0JB,69873.8
BR2 0JD,117379.2
BR2 0JF,17633.5
BR2 0JG,41617.7
BR2 0JJ,188728.5
BR2 0JL,55078.5
BR2 0JN,53165.0
BR2 0JP,160338.2
BR2 0JS,44284.2
BR2 0JU,154128.3
BR2 0JW,22717.1
BR2 0JX,88258.3
BR2 0JY,15155.7
BR2 0JZ,17155.1
BR2 0LA,34766.0
BR2 0LB,104013.0
BR2 0LE,31405.0
BR2 0LF,44850.2
BR2 0LG,111271.3
BR2 0LH,130042.6
BR2 0LJ,124493.6
BR2 0LL,123820.6
BR2 0LN,213320.3
BR2 0LP,92638.7
BR2 0LQ,67709.8
BR2 0LR,96162.3
BR2 0LS,77463.3
BR2 0LT,117093.0
BR2 0LW,13269.4
BR2 0LX,130478.2
BR2 0LY,49458.1
BR2 0LZ,56022.4
BR2 0NA,33837.1
BR2 0NB,65096.9
BR2 0ND,145042.1
BR2 0NE,40426.9
BR2 0NF,84300.5
BR2 0NG,82950.4
BR2 0NH,85731.6
BR2 0NJ,26374.4
BR2 0NL,93130.9
BR2 0NN,24795.4
BR2 0NP,75285.8
BR2 0NQ,60182.2
BR2 0NR,86665.7
BR2 0NS,83889.5
BR2 0NT,99814.5
BR2 0NU,20908.7
BR2 0NW,40124.3
BR2 0NX,63304.1
BR2 0NY,152282.6
BR2 0NZ,23541.0
BR2 0PA,79200.4
BR2 0PB,143545.4
BR2 0PD,61235.7
BR2 0PE,50795.5
BR2 0PF,61596.0
BR2 0PG,45048.2
BR2 0PH,8866.0
BR2 0PJ,20004.8
BR2 0PL,166215.0
BR2 0PP,23951.0
BR2 0PQ,54167.4
BR2 0PR,119647.7
BR2 0PS,99735.6
BR2 0PT,104788.4
BR2 0PU,178073.2
BR2 0PW,149001.8
BR2 0PX,34096.0
BR2 0PY,109206.1
BR2 0PZ,106118.8
BR2 0QA,146608.0
BR2 0QB,94561.4
